regime,seed,query_id,main_nDCG,abl_nDCG,abl_served,absdiff
asymmetric,0,pancreas_329,0.7846170207230129,0.7846170207230129,True,0.0
asymmetric,0,pancreas_334,0.0,0.0,True,0.0
asymmetric,0,pancreas_345,0.5084351701712879,0.5084351701712879,True,0.0
asymmetric,0,pancreas_364,0.31708532520472715,0.3170853252047271,True,5.551115123125783e-17
asymmetric,0,pancreas_366,0.0,0.0,True,0.0
asymmetric,0,pancreas_372,1.0,1.0,True,0.0
asymmetric,0,pancreas_377,0.5618536187071219,0.5618536187071219,True,0.0
asymmetric,0,pancreas_386,0.0,0.0,True,0.0
asymmetric,0,pancreas_387,0.14285714285714285,0.1428571428571428,True,5.551115123125783e-17
asymmetric,0,pancreas_391,1.0,1.0,True,0.0
asymmetric,0,pancreas_409,0.0,0.0,True,0.0
asymmetric,1,FLARE22_Tr_0006,0.3024038304938509,0.3024038304938509,True,0.0
asymmetric,1,FLARE22_Tr_0010,0.08908476254922294,0.0890847625492229,True,4.163336342344337e-17
asymmetric,1,FLARE22_Tr_0011,0.03144168089972574,0.0314416808997257,True,3.469446951953614e-17
asymmetric,1,FLARE22_Tr_0014,0.01572084044986287,0.0157208404498628,True,6.938893903907228e-17
asymmetric,1,FLARE22_Tr_0018,0.14239070782958732,0.1423907078295873,True,2.7755575615628914e-17
asymmetric,1,FLARE22_Tr_0021,0.35079128821926453,0.3507912882192645,True,5.551115123125783e-17
asymmetric,1,FLARE22_Tr_0025,0.0,0.0,True,0.0
asymmetric,1,FLARE22_Tr_0028,0.47223634002126197,0.4722363400212619,True,5.551115123125783e-17
asymmetric,1,FLARE22_Tr_0031,0.15139734109601005,0.15139734109601,True,5.551115123125783e-17
asymmetric,1,FLARE22_Tr_0036,0.3348619098701505,0.3348619098701505,True,0.0
asymmetric,1,FLARE22_Tr_0038,0.5801476231864474,0.5801476231864474,True,0.0
asymmetric,1,FLARE22_Tr_0043,0.0,0.0,True,0.0
asymmetric,1,FLARE22_Tr_0045,0.43584482098591654,0.4358448209859165,True,5.551115123125783e-17
asymmetric,1,FLARE22_Tr_0050,0.17085389318283584,0.1708538931828358,True,2.7755575615628914e-17
asymmetric,1,FLARETs_0003,0.13886244387355454,0.1388624438735545,True,2.7755575615628914e-17
asymmetric,1,FLARETs_0006,0.5492902584961094,0.5492902584961094,True,0.0
asymmetric,1,FLARETs_0021,0.039406736310266616,0.0394067363102666,True,1.3877787807814457e-17
asymmetric,1,FLARETs_0023,0.34970689377545056,0.3497068937754505,True,5.551115123125783e-17
asymmetric,1,FLARETs_0024,0.7103832077248687,0.7103832077248687,True,0.0
asymmetric,1,FLARETs_0033,0.0,0.0,True,0.0
asymmetric,1,FLARETs_0034,0.18516013496585287,0.1851601349658528,True,8.326672684688674e-17
asymmetric,1,FLARETs_0035,0.0,0.0,True,0.0
asymmetric,1,FLARETs_0036,0.4762692995728842,0.4762692995728842,True,0.0
asymmetric,1,FLARETs_0039,0.17396691937929834,0.1739669193792983,True,2.7755575615628914e-17
asymmetric,1,FLARETs_0044,0.18749985931466848,0.1874998593146684,True,8.326672684688674e-17
asymmetric,1,FLARETs_0050,0.14285714285714285,0.1428571428571428,True,5.551115123125783e-17
asymmetric,1,LiTs-014,0.0,0.0,True,0.0
asymmetric,1,LiTs-015,0.0,0.0,True,0.0
asymmetric,1,LiTs-021,1.0,1.0,True,0.0
asymmetric,1,LiTs-022,1.0,1.0,True,0.0
asymmetric,1,LiTs-024,0.009088684028421674,0.0090886840284216,True,7.45931094670027e-17
asymmetric,1,LiTs-041,1.0,1.0,True,0.0
asymmetric,1,LiTs-044,0.6489315753318466,0.6489315753318466,True,0.0
asymmetric,1,LiTs-045,0.2329726085570736,0.2329726085570736,True,0.0
asymmetric,1,LiTs-046,0.0,0.0,True,0.0
asymmetric,1,LiTs-047,1.0,1.0,True,0.0
asymmetric,1,LiTs-059,1.0,1.0,True,0.0
asymmetric,1,LiTs-066,1.0,1.0,True,0.0
asymmetric,1,LiTs-067,0.013541194909935826,0.0135411949099358,True,2.6020852139652106e-17
asymmetric,1,LiTs-076,0.5933607200949346,0.5933607200949346,True,0.0
asymmetric,1,LiTs-082,0.13886244387355454,0.1388624438735545,True,2.7755575615628914e-17
asymmetric,1,LiTs-083,0.14285714285714285,0.1428571428571428,True,5.551115123125783e-17
asymmetric,1,LiTs-086,0.1487639058405727,0.1487639058405727,True,0.0
asymmetric,1,LiTs-087,0.07839826897867534,0.0783982689786753,True,4.163336342344337e-17
asymmetric,1,LiTs-089,0.0,0.0,True,0.0
asymmetric,1,LiTs-102,0.3670742981900367,0.3670742981900367,True,0.0
