masking_regime,mask_metadata,method,Delta_upstream_P@10,Delta_upstream_R@10,Delta_upstream_mAP,Delta_upstream_nDCG@10,Delta_upstream_ServedRate
random,"{""missing_fraction"": 0.4}",OAKG-product,0.01428571428571429,0.009300104989872854,0.006955454892104307,0.01568371539512542,0.0
random,"{""missing_fraction"": 0.4}",OAKG-similarity,0.008571428571428508,0.006628615625245138,0.015746668713046863,0.016398723223784828,0.0
random,"{""missing_fraction"": 0.4}",OAKG-threshold,-0.002857142857142836,0.002350088314455767,0.017191657529188553,0.010629088123887576,0.0
random,"{""missing_fraction"": 0.4}",WL,0.054285714285714326,0.015275270933268525,0.02421588264147051,0.066189413469735,0.0
random,"{""missing_fraction"": 0.4}",WL+Obs,0.054285714285714326,0.01726662156867942,0.03192358331019618,0.066189413469735,0.0
random,"{""missing_fraction"": 0.4}",Zero imputation,0.03428571428571425,0.010387932989962892,0.010797011086821962,0.036111484751988165,0.0
random,"{""missing_fraction"": 0.6}",Gower,0.008571428571428563,0.0075710842550736485,0.013241933776040715,0.006215786965394876,0.0
random,"{""missing_fraction"": 0.6}",Masked cosine,0.02571428571428569,0.005845344176772557,0.00903627129979151,0.04130176309421196,0.0
random,"{""missing_fraction"": 0.6}",Mean imputation,0.022857142857142798,0.009743234741741214,0.009437935499471084,0.03549261232965489,0.0
random,"{""missing_fraction"": 0.6}",Missingness indicators,-0.005714285714285727,0.000362771090822403,0.0026882383085667927,0.0005887629305023623,0.0
random,"{""missing_fraction"": 0.6}",OAKG-lexicographic,0.011428571428571455,0.008288533914363183,-0.0007185307666184859,0.003405793754160058,0.0
random,"{""missing_fraction"": 0.6}",OAKG-product,0.025714285714285745,0.01651837130386441,0.01098885619377249,0.020903121274725378,0.0
random,"{""missing_fraction"": 0.6}",OAKG-similarity,0.017142857142857126,0.011749219462187904,0.011319008421692645,0.011722835208236138,0.0
random,"{""missing_fraction"": 0.6}",OAKG-threshold,0.017142857142857126,0.011749219462187904,0.011319008421692645,0.011722835208236138,0.0
random,"{""missing_fraction"": 0.6}",WL,0.040000000000000036,0.01197386455128105,0.03638364373904257,0.05896871870302095,0.0
random,"{""missing_fraction"": 0.6}",WL+Obs,0.03999999999999998,0.0252817767618837,0.04888362600442203,0.05463573653574583,0.0
random,"{""missing_fraction"": 0.6}",Zero imputation,0.022857142857142798,0.009743234741741214,0.009437935499471084,0.03549261232965489,0.0
random,"{""missing_fraction"": 0.8}",Gower,-0.002857142857142836,-0.0011906715548172242,-0.0023233368861210746,-0.006976525469108152,0.0
random,"{""missing_fraction"": 0.8}",Masked cosine,0.03714285714285709,0.006856638646713639,0.007975560424226424,0.04585061010177233,0.0
random,"{""missing_fraction"": 0.8}",Mean imputation,0.02857142857142858,0.007793992677462919,0.0019301982261932804,0.03369363962191274,0.0
random,"{""missing_fraction"": 0.8}",Missingness indicators,-0.005714285714285727,0.0018320190028873473,-0.0070867048941352095,-0.0043782891077458475,0.0
random,"{""missing_fraction"": 0.8}",OAKG-lexicographic,-0.017142857142857126,-0.0235870610870611,-0.004525745980909435,-0.012002103831112165,0.0
random,"{""missing_fraction"": 0.8}",OAKG-product,-0.017142857142857126,-0.0235870610870611,-0.004525745980909435,-0.012002103831112165,0.0
random,"{""missing_fraction"": 0.8}",OAKG-similarity,-0.017142857142857126,-0.0235870610870611,-0.004525745980909435,-0.012002103831112165,0.0
random,"{""missing_fraction"": 0.8}",OAKG-threshold,-0.017142857142857126,-0.0235870610870611,-0.004525745980909435,-0.012002103831112165,0.0
random,"{""missing_fraction"": 0.8}",WL,0.022857142857142798,0.00539362953700781,0.01657370209393727,0.037094971962006396,0.0
random,"{""missing_fraction"": 0.8}",WL+Obs,0.005714285714285727,-0.0479895104895105,0.032220792383333974,0.0188440653153783,0.0
random,"{""missing_fraction"": 0.8}",Zero imputation,0.02857142857142858,0.007793992677462919,0.0019301982261932804,0.03369363962191274,0.0
