track,masking_regime,method,P@10,R@10,mAP,nDCG@10,ServedRate,n_queries,n_served
ref,asymmetric,Zero imputation [ref],"0.404 [0.316, 0.483]","0.117 [0.092, 0.144]","0.410 [0.353, 0.461]","0.437 [0.354, 0.513]",1.0,35,70
ref,dataset_style,Gower [ref],"0.364 [0.306, 0.424]","0.105 [0.088, 0.124]","0.380 [0.344, 0.421]","0.394 [0.334, 0.453]",1.0,35,140
ref,dataset_style,Masked cosine [ref],"0.324 [0.277, 0.376]","0.090 [0.078, 0.103]","0.361 [0.330, 0.398]","0.363 [0.311, 0.417]",1.0,35,140
ref,dataset_style,Mean imputation [ref],"0.365 [0.310, 0.421]","0.104 [0.088, 0.120]","0.387 [0.352, 0.425]","0.401 [0.346, 0.455]",1.0,35,140
ref,dataset_style,Missingness indicators [ref],"0.374 [0.319, 0.430]","0.103 [0.087, 0.119]","0.393 [0.357, 0.430]","0.405 [0.349, 0.461]",1.0,35,140
ref,dataset_style,OAKG-lexicographic [ref],"0.363 [0.299, 0.429]","0.153 [0.128, 0.180]","0.395 [0.357, 0.441]","0.405 [0.343, 0.472]",0.7142857142857143,35,100
ref,dataset_style,OAKG-product [ref],"0.363 [0.299, 0.429]","0.153 [0.128, 0.180]","0.395 [0.357, 0.441]","0.405 [0.343, 0.472]",0.7142857142857143,35,100
ref,dataset_style,OAKG-similarity [ref],"0.338 [0.274, 0.411]","0.140 [0.110, 0.170]","0.399 [0.358, 0.447]","0.381 [0.314, 0.450]",0.7142857142857143,35,100
ref,dataset_style,OAKG-threshold [ref],"0.363 [0.299, 0.429]","0.234 [0.190, 0.279]","0.433 [0.390, 0.486]","0.415 [0.352, 0.481]",0.7142857142857143,35,100
ref,dataset_style,WL [ref],"0.384 [0.332, 0.438]","0.115 [0.098, 0.133]","0.388 [0.360, 0.419]","0.412 [0.362, 0.466]",1.0,35,140
