regime,seed,query_id,method,nDCG@10,served
uniform,0,FLARETs_0006,OAKG-Union,0.5991460842621132,True
uniform,0,FLARETs_0021,OAKG,0.0,True
uniform,0,FLARETs_0021,OAKG-Union,0.3094454128949909,True
uniform,0,FLARETs_0023,OAKG,0.14285714285714285,True
uniform,0,FLARETs_0023,OAKG-Union,0.712936470508769,True
uniform,0,FLARETs_0024,OAKG,0.009918745990968182,True
uniform,0,FLARETs_0024,OAKG-Union,0.7508931700414944,True
uniform,0,FLARETs_0033,OAKG,0.0,True
uniform,0,FLARETs_0033,OAKG-Union,0.0,True
uniform,0,FLARETs_0034,OAKG,0.0,True
uniform,0,FLARETs_0034,OAKG-Union,0.12989283987529457,True
uniform,0,FLARETs_0035,OAKG,0.0,True
uniform,0,FLARETs_0035,OAKG-Union,0.5232512984721256,True
uniform,0,FLARETs_0036,OAKG,0.00946488906491272,True
uniform,0,FLARETs_0036,OAKG-Union,0.5814149852926773,True
uniform,0,FLARETs_0039,OAKG,0.0,True
uniform,0,FLARETs_0039,OAKG-Union,0.17405014866116933,True
uniform,0,FLARETs_0044,OAKG,0.0,True
uniform,0,FLARETs_0044,OAKG-Union,0.4988207993800992,True
uniform,0,FLARETs_0050,OAKG,0.03144168089972574,True
uniform,0,FLARETs_0050,OAKG-Union,0.2808936467062342,True
random,0,pancreas_001,OAKG,0.6311443278613472,True
random,0,pancreas_001,OAKG-Union,1.0,True
random,0,pancreas_012,OAKG,0.1866839282170291,True
random,0,pancreas_012,OAKG-Union,0.21306158485699,True
random,0,pancreas_042,OAKG,0.0,True
random,0,pancreas_042,OAKG-Union,0.0,True
random,0,pancreas_058,OAKG,0.0,True
random,0,pancreas_058,OAKG-Union,0.0,True
random,0,pancreas_077,OAKG,0.0,True
random,0,pancreas_077,OAKG-Union,0.0,True
random,0,pancreas_080,OAKG,0.2559504294230336,True
random,0,pancreas_080,OAKG-Union,0.5668339904824009,True
random,0,pancreas_081,OAKG,0.2887478400797578,True
random,0,pancreas_081,OAKG-Union,0.3425479501917774,True
random,0,pancreas_084,OAKG,0.6402900881481707,True
random,0,pancreas_084,OAKG-Union,1.0,True
random,0,pancreas_086,OAKG,0.8515543142729491,True
random,0,pancreas_086,OAKG-Union,0.8515543142729491,True
random,0,pancreas_089,OAKG,0.4651414662331113,True
random,0,pancreas_089,OAKG-Union,0.7221746306981013,True
random,0,pancreas_091,OAKG,0.5914640815742044,True
random,0,pancreas_091,OAKG-Union,1.0,True
random,0,pancreas_092,OAKG,0.14465249243306436,True
random,0,pancreas_092,OAKG-Union,0.21819512777735,True
random,0,pancreas_094,OAKG,1.0,True
random,0,pancreas_094,OAKG-Union,1.0,True
random,0,pancreas_104,OAKG,0.1181161952359677,True
random,0,pancreas_104,OAKG-Union,0.14285714285714285,True
random,0,pancreas_110,OAKG,0.6082965289412681,True
random,0,pancreas_110,OAKG-Union,1.0,True
random,0,pancreas_113,OAKG,0.47646780250879517,True
random,0,pancreas_113,OAKG-Union,0.9371166382005486,True
random,0,pancreas_114,OAKG,0.0,True
random,0,pancreas_114,OAKG-Union,0.0,True
random,0,pancreas_117,OAKG,0.4309322110679313,True
random,0,pancreas_117,OAKG-Union,0.4309322110679313,True
random,0,pancreas_119,OAKG,0.6328124867642183,True
random,0,pancreas_119,OAKG-Union,0.94546789582947,True
random,0,pancreas_120,OAKG,0.0,True
random,0,pancreas_120,OAKG-Union,0.0,True
random,0,pancreas_124,OAKG,0.2940945979596689,True
random,0,pancreas_124,OAKG-Union,0.9363792118010483,True
random,0,pancreas_130,OAKG,0.2950697036175426,True
random,0,pancreas_130,OAKG-Union,0.31708532520472715,True
random,0,pancreas_131,OAKG,0.27305408203035797,True
random,0,pancreas_131,OAKG-Union,0.31708532520472715,True
random,0,pancreas_159,OAKG,0.15090863280404943,True
random,0,pancreas_159,OAKG-Union,0.15090863280404943,True
random,0,pancreas_169,OAKG,0.0,True
random,0,pancreas_169,OAKG-Union,0.0,True
random,0,pancreas_186,OAKG,0.24729745591321764,True
random,0,pancreas_186,OAKG-Union,0.31708532520472715,True
random,0,pancreas_193,OAKG,0.637161318481177,True
random,0,pancreas_193,OAKG-Union,0.637161318481177,True
random,0,pancreas_199,OAKG,0.0,True
random,0,pancreas_199,OAKG-Union,0.0,True
random,0,pancreas_204,OAKG,0.0,True
random,0,pancreas_204,OAKG-Union,0.0,True
random,0,pancreas_207,OAKG,0.0,True
random,0,pancreas_207,OAKG-Union,0.0,True
random,0,pancreas_213,OAKG,0.0,True
random,0,pancreas_213,OAKG-Union,0.0,True
random,0,pancreas_214,OAKG,0.0,True
random,0,pancreas_214,OAKG-Union,0.0,True
random,0,pancreas_229,OAKG,0.0,True
random,0,pancreas_229,OAKG-Union,0.0,True
random,0,pancreas_244,OAKG,0.7799082337019199,True
random,0,pancreas_244,OAKG-Union,1.0,True
random,0,pancreas_246,OAKG,0.8364586133797037,True
random,0,pancreas_246,OAKG-Union,1.0,True
random,0,pancreas_255,OAKG,0.2863459897524692,True
random,0,pancreas_255,OAKG-Union,0.41939799988819826,True
random,0,pancreas_258,OAKG,0.8389574121760601,True
random,0,pancreas_258,OAKG-Union,1.0,True
random,0,pancreas_266,OAKG,0.4310032867362254,True
random,0,pancreas_266,OAKG-Union,0.6261043923059076,True
random,0,pancreas_269,OAKG,0.15798796805449397,True
random,0,pancreas_269,OAKG-Union,0.24789885215535917,True
random,0,pancreas_280,OAKG,0.8515543142729491,True
random,0,pancreas_280,OAKG-Union,1.0,True
random,0,pancreas_283,OAKG,1.0,True
random,0,pancreas_283,OAKG-Union,1.0,True
random,0,pancreas_289,OAKG,0.0,True
random,0,pancreas_289,OAKG-Union,0.0,True
random,0,pancreas_294,OAKG,0.5637884576902256,True
random,0,pancreas_294,OAKG-Union,0.5637884576902256,True
random,0,pancreas_297,OAKG,0.0,True
random,0,pancreas_297,OAKG-Union,0.0,True
random,0,pancreas_300,OAKG,0.0,True
random,0,pancreas_300,OAKG-Union,0.0,True
random,0,pancreas_303,OAKG,0.0,True
random,0,pancreas_303,OAKG-Union,0.0,True
random,0,pancreas_304,OAKG,0.01048056029990858,True
random,0,pancreas_304,OAKG-Union,0.01048056029990858,True
random,0,pancreas_315,OAKG,0.06628648667457608,True
random,0,pancreas_315,OAKG-Union,0.09031040361479109,True
random,0,pancreas_328,OAKG,0.0,True
random,0,pancreas_328,OAKG-Union,0.0,True
random,0,pancreas_329,OAKG,0.32227224912195473,True
random,0,pancreas_329,OAKG-Union,0.5672274908036508,True
random,0,pancreas_334,OAKG,0.0,True
random,0,pancreas_334,OAKG-Union,0.0,True
random,0,pancreas_345,OAKG,0.3354257508767642,True
random,0,pancreas_345,OAKG-Union,0.3354257508767642,True
random,0,pancreas_364,OAKG,0.1812505911516638,True
random,0,pancreas_364,OAKG-Union,0.31708532520472715,True
random,0,pancreas_366,OAKG,0.0,True
random,0,pancreas_366,OAKG-Union,0.0,True
random,0,pancreas_372,OAKG,0.92663607790064,True
random,0,pancreas_372,OAKG-Union,1.0,True
random,0,pancreas_377,OAKG,0.508120027013427,True
random,0,pancreas_377,OAKG-Union,0.685035554235118,True
random,0,pancreas_386,OAKG,0.0,True
random,0,pancreas_386,OAKG-Union,0.0,True
random,0,pancreas_387,OAKG,0.0420135139942384,True
random,0,pancreas_387,OAKG-Union,0.14285714285714285,True
random,0,pancreas_391,OAKG,0.0,True
random,0,pancreas_391,OAKG-Union,1.0,True
random,0,pancreas_409,OAKG,0.0,True
random,0,pancreas_409,OAKG-Union,0.0,True
random,0,LiTs-014,OAKG,0.0,True
random,0,LiTs-014,OAKG-Union,0.0,True
random,0,LiTs-015,OAKG,0.0,True
random,0,LiTs-015,OAKG-Union,0.0,True
random,0,LiTs-021,OAKG,1.0,True
random,0,LiTs-021,OAKG-Union,1.0,True
random,0,LiTs-022,OAKG,1.0,True
random,0,LiTs-022,OAKG-Union,1.0,True
random,0,LiTs-024,OAKG,0.009088684028421674,True
random,0,LiTs-024,OAKG-Union,0.009088684028421674,True
random,0,LiTs-041,OAKG,1.0,True
random,0,LiTs-041,OAKG-Union,1.0,True
random,0,LiTs-044,OAKG,0.6489315753318466,True
random,0,LiTs-044,OAKG-Union,0.6489315753318466,True
random,0,LiTs-045,OAKG,0.2329726085570736,True
random,0,LiTs-045,OAKG-Union,0.2329726085570736,True
random,0,LiTs-046,OAKG,0.0,True
random,0,LiTs-046,OAKG-Union,0.0,True
random,0,LiTs-047,OAKG,1.0,True
random,0,LiTs-047,OAKG-Union,1.0,True
random,0,LiTs-059,OAKG,1.0,True
random,0,LiTs-059,OAKG-Union,1.0,True
random,0,LiTs-066,OAKG,1.0,True
random,0,LiTs-066,OAKG-Union,1.0,True
random,0,LiTs-067,OAKG,0.013541194909935826,True
random,0,LiTs-067,OAKG-Union,0.013541194909935826,True
random,0,LiTs-076,OAKG,0.5933607200949346,True
random,0,LiTs-076,OAKG-Union,0.5933607200949346,True
random,0,LiTs-082,OAKG,0.07336392209936006,True
random,0,LiTs-082,OAKG-Union,0.2200917662980802,True
random,0,LiTs-083,OAKG,0.14285714285714285,True
random,0,LiTs-083,OAKG-Union,0.14285714285714285,True
random,0,LiTs-086,OAKG,0.06362078819895173,True
random,0,LiTs-086,OAKG-Union,0.314880130667631,True
random,0,LiTs-087,OAKG,0.2090493674905264,True
random,0,LiTs-087,OAKG-Union,0.0,True
random,0,LiTs-089,OAKG,0.0,True
random,0,LiTs-089,OAKG-Union,0.0,True
random,0,LiTs-102,OAKG,0.2787203197779838,True
random,0,LiTs-102,OAKG-Union,0.5473983622993501,True
random,0,LiTs-104,OAKG,1.0,True
random,0,LiTs-104,OAKG-Union,1.0,True
random,0,LiTs-105,OAKG,0.857980942822373,True
random,0,LiTs-105,OAKG-Union,1.0,True
random,0,LiTs-111,OAKG,0.020399306290876763,True
random,0,LiTs-111,OAKG-Union,0.35459765152630157,True
random,0,LiTs-128,OAKG,0.0,True
random,0,LiTs-128,OAKG-Union,0.5803013296579812,True
random,0,LiTs-130,OAKG,0.0,True
random,0,LiTs-130,OAKG-Union,1.0,True
random,0,FLARE22_Tr_0006,OAKG,0.0,True
random,0,FLARE22_Tr_0006,OAKG-Union,0.44326416469634355,True
random,0,FLARE22_Tr_0010,OAKG,0.0,True
random,0,FLARE22_Tr_0010,OAKG-Union,0.2520841973226125,True
random,0,FLARE22_Tr_0011,OAKG,0.04090656996463846,True
random,0,FLARE22_Tr_0011,OAKG-Union,0.2883820513943218,True
random,0,FLARE22_Tr_0014,OAKG,0.0,True
random,0,FLARE22_Tr_0014,OAKG-Union,0.09695184207200973,True
random,0,FLARE22_Tr_0018,OAKG,0.09478836436955079,True
random,0,FLARE22_Tr_0018,OAKG-Union,0.2735872697693364,True
random,0,FLARE22_Tr_0021,OAKG,0.0,True
random,0,FLARE22_Tr_0021,OAKG-Union,0.13979375764430893,True
random,0,FLARE22_Tr_0025,OAKG,0.0,True
random,0,FLARE22_Tr_0025,OAKG-Union,0.3187939258847263,True
random,0,FLARE22_Tr_0028,OAKG,0.009088684028421674,True
random,0,FLARE22_Tr_0028,OAKG-Union,0.3631075467533753,True
random,0,FLARE22_Tr_0031,OAKG,0.0,True
random,0,FLARE22_Tr_0031,OAKG-Union,0.0,True
random,0,FLARE22_Tr_0036,OAKG,0.011199752711239335,True
random,0,FLARE22_Tr_0036,OAKG-Union,0.576023152374742,True
random,0,FLARE22_Tr_0038,OAKG,0.0,True
random,0,FLARE22_Tr_0038,OAKG-Union,0.49593892046994653,True
random,0,FLARE22_Tr_0043,OAKG,0.0,True
random,0,FLARE22_Tr_0043,OAKG-Union,0.09424074641506182,True
random,0,FLARE22_Tr_0045,OAKG,0.0,True
random,0,FLARE22_Tr_0045,OAKG-Union,0.572894340643402,True
random,0,FLARE22_Tr_0050,OAKG,0.0,True
random,0,FLARE22_Tr_0050,OAKG-Union,0.3648149715813449,True
random,0,FLARETs_0003,OAKG,0.0,True
random,0,FLARETs_0003,OAKG-Union,0.06362078819895173,True
random,0,FLARETs_0006,OAKG,0.0,True
random,0,FLARETs_0006,OAKG-Union,0.15411418823937095,True
random,0,FLARETs_0021,OAKG,0.00946488906491272,True
random,0,FLARETs_0021,OAKG-Union,0.3468758403296002,True
random,0,FLARETs_0023,OAKG,0.4576752747037683,True
random,0,FLARETs_0023,OAKG-Union,0.6467719514807803,True
random,0,FLARETs_0024,OAKG,0.08900046626510755,True
random,0,FLARETs_0024,OAKG-Union,0.5084351701712879,True
random,0,FLARETs_0033,OAKG,0.0,True
random,0,FLARETs_0033,OAKG-Union,0.27584715417186634,True
random,0,FLARETs_0034,OAKG,0.0,True
random,0,FLARETs_0034,OAKG-Union,0.13213739640455793,True
random,0,FLARETs_0035,OAKG,0.0,True
