stratum,family,query_id,query_source,method,metric,value,n_candidates,n_graded_relevant,n_binary_relevant
same-source,primary,Q0011,msd_pancreas,OAKG,ndcg@10,0.21819512777734998,280,132,132
same-source,primary,Q0011,msd_pancreas,OAKG,precision@10,0.3,280,132,132
same-source,primary,Q0011,msd_pancreas,OAKG,recall@10,0.022727272727272728,280,132,132
same-source,primary,Q0011,msd_pancreas,OAKG,map,0.48719834153443464,280,132,132
same-source,primary,Q0011,msd_pancreas,OAKG-Union,ndcg@10,0.21819512777734998,280,132,132
same-source,primary,Q0011,msd_pancreas,OAKG-Union,precision@10,0.3,280,132,132
same-source,primary,Q0011,msd_pancreas,OAKG-Union,recall@10,0.022727272727272728,280,132,132
same-source,primary,Q0011,msd_pancreas,OAKG-Union,map,0.48719834153443464,280,132,132
same-source,primary,Q0011,msd_pancreas,WL,ndcg@10,1.0,280,132,132
same-source,primary,Q0011,msd_pancreas,WL,precision@10,1.0,280,132,132
same-source,primary,Q0011,msd_pancreas,WL,recall@10,0.07575757575757576,280,132,132
same-source,primary,Q0011,msd_pancreas,WL,map,0.6187735630509648,280,132,132
same-source,primary,Q0011,msd_pancreas,ZeroImputation,ndcg@10,0.19930623359011798,280,132,132
same-source,primary,Q0011,msd_pancreas,ZeroImputation,precision@10,0.3,280,132,132
same-source,primary,Q0011,msd_pancreas,ZeroImputation,recall@10,0.022727272727272728,280,132,132
same-source,primary,Q0011,msd_pancreas,ZeroImputation,map,0.33416107563409597,280,132,132
same-source,primary,Q0012,msd_pancreas,MissingnessIndicators,ndcg@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,MissingnessIndicators,precision@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,MissingnessIndicators,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0012,msd_pancreas,MissingnessIndicators,map,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,OAKG,ndcg@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,OAKG,precision@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,OAKG,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0012,msd_pancreas,OAKG,map,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,OAKG-Union,ndcg@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,OAKG-Union,precision@10,1.0,280,280,280
same-source,primary,Q0012,msd_pancreas,OAKG-Union,recall@10,0.03571428571428571,280,280,280
