regime,seed,query_id,method,nDCG@10
random,0,FLARE22_Tr_0036,OAKG-Union,0.576023152374742
random,0,FLARE22_Tr_0038,OAKG,0.49593892046994653
random,0,FLARE22_Tr_0038,OAKG-Union,0.49593892046994653
random,0,FLARE22_Tr_0043,OAKG,0.09424074641506182
random,0,FLARE22_Tr_0043,OAKG-Union,0.09424074641506182
random,0,FLARE22_Tr_0045,OAKG,0.572894340643402
random,0,FLARE22_Tr_0045,OAKG-Union,0.572894340643402
random,0,FLARE22_Tr_0050,OAKG,0.3648149715813449
random,0,FLARE22_Tr_0050,OAKG-Union,0.3648149715813449
random,0,FLARETs_0003,OAKG,0.06362078819895173
random,0,FLARETs_0003,OAKG-Union,0.06362078819895173
random,0,FLARETs_0006,OAKG,0.15411418823937095
random,0,FLARETs_0006,OAKG-Union,0.15411418823937095
random,0,FLARETs_0021,OAKG,0.3468758403296002
random,0,FLARETs_0021,OAKG-Union,0.3468758403296002
random,0,FLARETs_0023,OAKG,0.6467719514807803
random,0,FLARETs_0023,OAKG-Union,0.6467719514807803
random,0,FLARETs_0024,OAKG,0.5084351701712879
random,0,FLARETs_0024,OAKG-Union,0.5084351701712879
random,0,FLARETs_0033,OAKG,0.27584715417186634
random,0,FLARETs_0033,OAKG-Union,0.27584715417186634
random,0,FLARETs_0034,OAKG,0.13213739640455793
random,0,FLARETs_0034,OAKG-Union,0.13213739640455793
random,0,FLARETs_0035,OAKG,0.5174612499126158
random,0,FLARETs_0035,OAKG-Union,0.5174612499126158
random,0,FLARETs_0036,OAKG,0.48330759559720143
random,0,FLARETs_0036,OAKG-Union,0.48330759559720143
random,0,FLARETs_0039,OAKG,0.4276241916114525
random,0,FLARETs_0039,OAKG-Union,0.4276241916114525
random,0,FLARETs_0044,OAKG,0.368592662609612
random,0,FLARETs_0044,OAKG-Union,0.2051261562709665
random,0,FLARETs_0050,OAKG,0.690579767017011
random,0,FLARETs_0050,OAKG-Union,0.690579767017011
random,1,pancreas_001,OAKG,1.0
random,1,pancreas_001,OAKG-Union,1.0
random,1,pancreas_012,OAKG,0.21306158485699
random,1,pancreas_012,OAKG-Union,0.21306158485699
random,1,pancreas_042,OAKG,0.0
random,1,pancreas_042,OAKG-Union,0.0
random,1,pancreas_058,OAKG,0.0
random,1,pancreas_058,OAKG-Union,0.0
random,1,pancreas_077,OAKG,0.0
random,1,pancreas_077,OAKG-Union,0.0
random,1,pancreas_080,OAKG,0.5668339904824009
random,1,pancreas_080,OAKG-Union,0.5668339904824009
random,1,pancreas_081,OAKG,0.3425479501917774
random,1,pancreas_081,OAKG-Union,0.3425479501917774
random,1,pancreas_084,OAKG,1.0
random,1,pancreas_084,OAKG-Union,1.0
random,1,pancreas_086,OAKG,0.8515543142729491
random,1,pancreas_086,OAKG-Union,0.8515543142729491
random,1,pancreas_089,OAKG,0.7221746306981013
random,1,pancreas_089,OAKG-Union,0.7221746306981013
random,1,pancreas_091,OAKG,1.0
random,1,pancreas_091,OAKG-Union,1.0
random,1,pancreas_092,OAKG,0.21819512777735
random,1,pancreas_092,OAKG-Union,0.21819512777735
random,1,pancreas_094,OAKG,1.0
random,1,pancreas_094,OAKG-Union,1.0
random,1,pancreas_104,OAKG,0.14285714285714285
random,1,pancreas_104,OAKG-Union,0.14285714285714285
random,1,pancreas_110,OAKG,1.0
random,1,pancreas_110,OAKG-Union,1.0
random,1,pancreas_113,OAKG,0.9371166382005486
random,1,pancreas_113,OAKG-Union,0.9371166382005486
random,1,pancreas_114,OAKG,0.0
random,1,pancreas_114,OAKG-Union,0.0
random,1,pancreas_117,OAKG,0.4309322110679313
random,1,pancreas_117,OAKG-Union,0.4309322110679313
random,1,pancreas_119,OAKG,0.94546789582947
random,1,pancreas_119,OAKG-Union,0.94546789582947
random,1,pancreas_120,OAKG,0.0
random,1,pancreas_120,OAKG-Union,0.0
random,1,pancreas_124,OAKG,0.9363792118010483
random,1,pancreas_124,OAKG-Union,0.9363792118010483
random,1,pancreas_130,OAKG,0.31708532520472715
random,1,pancreas_130,OAKG-Union,0.31708532520472715
random,1,pancreas_131,OAKG,0.31708532520472715
random,1,pancreas_131,OAKG-Union,0.31708532520472715
random,1,pancreas_159,OAKG,0.15090863280404943
random,1,pancreas_159,OAKG-Union,0.15090863280404943
random,1,pancreas_169,OAKG,0.0
random,1,pancreas_169,OAKG-Union,0.0
random,1,pancreas_186,OAKG,0.31708532520472715
random,1,pancreas_186,OAKG-Union,0.31708532520472715
random,1,pancreas_193,OAKG,0.637161318481177
random,1,pancreas_193,OAKG-Union,0.637161318481177
random,1,pancreas_199,OAKG,0.0
random,1,pancreas_199,OAKG-Union,0.0
random,1,pancreas_204,OAKG,0.0
random,1,pancreas_204,OAKG-Union,0.0
random,1,pancreas_207,OAKG,0.0
random,1,pancreas_207,OAKG-Union,0.0
random,1,pancreas_213,OAKG,0.0
random,1,pancreas_213,OAKG-Union,0.0
random,1,pancreas_214,OAKG,0.0
random,1,pancreas_214,OAKG-Union,0.0
random,1,pancreas_229,OAKG,0.0
random,1,pancreas_229,OAKG-Union,0.0
random,1,pancreas_244,OAKG,1.0
random,1,pancreas_244,OAKG-Union,1.0
random,1,pancreas_246,OAKG,1.0
random,1,pancreas_246,OAKG-Union,1.0
random,1,pancreas_255,OAKG,0.41939799988819826
random,1,pancreas_255,OAKG-Union,0.41939799988819826
random,1,pancreas_258,OAKG,1.0
random,1,pancreas_258,OAKG-Union,1.0
random,1,pancreas_266,OAKG,0.6261043923059076
random,1,pancreas_266,OAKG-Union,0.6261043923059076
random,1,pancreas_269,OAKG,0.24789885215535917
random,1,pancreas_269,OAKG-Union,0.24789885215535917
random,1,pancreas_280,OAKG,1.0
random,1,pancreas_280,OAKG-Union,1.0
random,1,pancreas_283,OAKG,1.0
random,1,pancreas_283,OAKG-Union,1.0
random,1,pancreas_289,OAKG,0.0
random,1,pancreas_289,OAKG-Union,0.0
random,1,pancreas_294,OAKG,0.5637884576902256
random,1,pancreas_294,OAKG-Union,0.5637884576902256
random,1,pancreas_297,OAKG,0.0
random,1,pancreas_297,OAKG-Union,0.0
random,1,pancreas_300,OAKG,0.0
random,1,pancreas_300,OAKG-Union,0.0
random,1,pancreas_303,OAKG,0.0
random,1,pancreas_303,OAKG-Union,0.0
random,1,pancreas_304,OAKG,0.01048056029990858
random,1,pancreas_304,OAKG-Union,0.01048056029990858
random,1,pancreas_315,OAKG,0.09031040361479109
random,1,pancreas_315,OAKG-Union,0.09031040361479109
random,1,pancreas_328,OAKG,0.0
random,1,pancreas_328,OAKG-Union,0.0
